# 2025-03-25 20:30:01.618
# MPE-seq_10min_rep2_mm10.bam
# Chromosome_ID	Chromosome_Size	Aligned_Reads	Unaligned_Reads
# chr1	195471971	2990826.0	0.0
# chr2	182113224	3130224.0	0.0
# chr3	160039680	2267241.0	0.0
# chr4	156508116	2547816.0	0.0
# chr5	151834684	2532435.0	0.0
# chr6	149736546	2325543.0	0.0
# chr7	145441459	2377609.0	0.0
# chr8	129401213	2338232.0	0.0
# chr9	124595110	2130035.0	0.0
# chr10	130694993	2021779.0	0.0
# chr11	122082543	2369080.0	0.0
# chr12	120129022	1821149.0	0.0
# chr13	120421639	1830483.0	0.0
# chr14	124902244	1764876.0	0.0
# chr15	104043685	1652474.0	0.0
# chr16	98207768	1453173.0	0.0
# chr17	94987271	1649430.0	0.0
# chr18	90702639	1350322.0	0.0
# chr19	61431566	998698.0	0.0
# chrX	171031299	1027883.0	0.0
# chrY	91744698	74310.0	0.0
# Total Genome Size: 2.72552137E9	Total Aligned Tags: 4.0653618E7
# bwa	# 0.7.17-r1188
# bwa mem -t 24 -v 1 -T 30 -h 5 -M /storage/group/bfp2/default/wkl2-WillLai/00_REFERENCE_DATA/GENOMES/mm10/mm10.fa /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034486_1.fastq.gz /storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/fastq_files/SRR2034486_2.fastq.gz
# MarkDuplicates	# 2.24.1
# MarkDuplicates INPUT=[/storage/group/bfp2/default/juk398-JordanKrebs/NucleosomeAtlas_project/250130_MPEseq/final_files/SRR2034486_ALIGNED.bam] OUTPUT=SRR2034486_MARKUP.bam METRICS_FILE=SRR2034486_output_metrics.tab REMOVE_DUPLICATES=true ASSUME_SORTED=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).*. OPTICAL_DUPLICATE_PIXEL_DISTANCE=100    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
# Average Insert Size: 183.15615244788825
# Median Insert Size: 173.0
# Mode Insert Size: 162.0
# Std deviation of Insert Size: 61.008158673369685
# Number of ReadPairs: 1.9549858E7
# Histogram
# Size (bp)	Frequency
0	46997.0
1	0.0
2	268.0
3	309.0
4	297.0
5	283.0
6	306.0
7	312.0
8	291.0
9	303.0
10	334.0
11	355.0
12	359.0
13	355.0
14	397.0
15	408.0
16	383.0
17	409.0
18	413.0
19	3546.0
20	3071.0
21	2091.0
22	1184.0
23	1151.0
24	987.0
25	1231.0
26	1110.0
27	1113.0
28	1144.0
29	1275.0
30	1383.0
31	1384.0
32	1511.0
33	1432.0
34	1684.0
35	1680.0
36	1828.0
37	1963.0
38	2013.0
39	2109.0
40	2117.0
41	2199.0
42	2365.0
43	2583.0
44	2671.0
45	2850.0
46	3244.0
47	3396.0
48	3528.0
49	3547.0
50	3577.0
51	3660.0
52	3858.0
53	4107.0
54	4424.0
55	4533.0
56	4847.0
57	5086.0
58	5380.0
59	5524.0
60	5498.0
61	5838.0
62	5670.0
63	6048.0
64	6499.0
65	6884.0
66	7303.0
67	8090.0
68	8640.0
69	8914.0
70	9271.0
71	9657.0
72	9658.0
73	10165.0
74	10981.0
75	11696.0
76	12416.0
77	13431.0
78	14799.0
79	15642.0
80	16087.0
81	16095.0
82	16335.0
83	16604.0
84	17824.0
85	18885.0
86	20317.0
87	22300.0
88	24976.0
89	28159.0
90	29064.0
91	28477.0
92	28319.0
93	27798.0
94	28933.0
95	30247.0
96	32724.0
97	35275.0
98	38911.0
99	43432.0
100	45061.0
101	45042.0
102	44879.0
103	45096.0
104	45225.0
105	47303.0
106	49950.0
107	54189.0
108	58514.0
109	64630.0
110	70053.0
111	71200.0
112	69947.0
113	68482.0
114	69401.0
115	70708.0
116	74345.0
117	80020.0
118	87493.0
119	94980.0
120	98828.0
121	98738.0
122	96001.0
123	94979.0
124	93954.0
125	94731.0
126	97768.0
127	101176.0
128	106833.0
129	113411.0
130	121800.0
131	128767.0
132	132076.0
133	130349.0
134	128557.0
135	127585.0
136	127685.0
137	131723.0
138	137875.0
139	144802.0
140	150355.0
141	152217.0
142	153061.0
143	154755.0
144	153318.0
145	153186.0
146	151054.0
147	150138.0
148	151757.0
149	154222.0
150	157372.0
151	161971.0
152	164503.0
153	166298.0
154	166611.0
155	167082.0
156	166752.0
157	165776.0
158	166391.0
159	166977.0
160	166978.0
161	167239.0
162	167884.0
163	167334.0
164	167763.0
165	167210.0
166	165892.0
167	163517.0
168	161641.0
169	160664.0
170	158293.0
171	157236.0
172	155512.0
173	154043.0
174	154159.0
175	153208.0
176	152015.0
177	150390.0
178	149050.0
179	145796.0
180	143296.0
181	141795.0
182	140311.0
183	137861.0
184	136114.0
185	134367.0
186	134023.0
187	132158.0
188	130205.0
189	128491.0
190	125716.0
191	123774.0
192	120903.0
193	118982.0
194	116880.0
195	115304.0
196	114006.0
197	111974.0
198	110816.0
199	108147.0
200	106715.0
201	104476.0
202	102062.0
203	99410.0
204	97571.0
205	96958.0
206	94779.0
207	92803.0
208	91629.0
209	90724.0
210	87844.0
211	86388.0
212	84485.0
213	82961.0
214	80843.0
215	79944.0
216	78046.0
217	76692.0
218	75871.0
219	74302.0
220	73130.0
221	70985.0
222	70451.0
223	68525.0
224	66963.0
225	66328.0
226	64679.0
